id,type,name,external_id
x-mitre-data-component--df508a43-65f5-453f-8b8f-4b5d64e60a21,x-mitre-data-component,Container Metadata,
x-mitre-data-component--e214eb6d-de8f-4154-9015-6d47915fbed1,x-mitre-data-component,Cloud Storage Metadata,
x-mitre-data-component--e52d89f9-1710-4708-88a5-cbef77c4cd5e,x-mitre-data-component,Cloud Service Modification,
x-mitre-data-component--e905dad2-00d6-477c-97e8-800427abd0e8,x-mitre-data-component,File Deletion,
x-mitre-data-component--ec0612c5-2644-4c50-bcac-82586974fedd,x-mitre-data-component,Cloud Service Disable,
x-mitre-data-component--ec225357-8197-47a4-a9cd-57741d592877,x-mitre-data-component,Volume Enumeration,
x-mitre-data-component--ed0dd8aa-1677-4551-bb7d-8da767617e1b,x-mitre-data-component,Windows Registry Key Access,
x-mitre-data-component--ee575f4a-2d4f-48f6-b18b-89067760adc1,x-mitre-data-component,Process Metadata,
x-mitre-data-component--f1eb6ea9-f3ab-414f-af35-2d5427199984,x-mitre-data-component,Snapshot Modification,
x-mitre-data-component--f42df6f0-6395-4f0c-9376-525a031f00c3,x-mitre-data-component,Scheduled Job Creation,
x-mitre-data-component--f5468e67-51c7-4756-9b4f-65707708e7fa,x-mitre-data-component,Network Share Access,
x-mitre-data-component--f5a9a1dd-82f9-41a3-85b8-13e5b9cd6c79,x-mitre-data-component,Driver Metadata,
x-mitre-data-component--f8213cde-6b3a-420d-9ab7-41c9af1a919f,x-mitre-data-component,Instance Start,
x-mitre-data-component--faa34cf6-cf32-4dc9-bd6a-8f7a606ff65b,x-mitre-data-component,Scheduled Job Modification,
x-mitre-data-component--fafaa705-ec08-4405-ac62-288c252e520d,x-mitre-data-component,Cluster Metadata,
x-mitre-data-component--fcc4811f-9cc8-4db5-8097-4d8242a380de,x-mitre-data-component,Cloud Storage Enumeration,
x-mitre-data-component--ff93f688-d7a4-49cf-9c79-a14454da8428,x-mitre-data-component,Web Credential Usage,
x-mitre-data-component--ff9b665a-598b-4bcb-8b2a-a87566aa1256,x-mitre-data-component,Domain Registration,
x-mitre-data-component--ffd73905-2e51-4f2d-8549-e72fb0eb6c38,x-mitre-data-component,Snapshot Enumeration,
